design,rank,algorithm,variant_label,final_score,active_weight_sum,and,and_rank,and_score,lev,lev_rank,lev_score,runtime,runtime_rank,runtime_score,memory,memory_rank,memory_score
tc_public_1/input.blif,1,MABSyn-UCB1,"steps=10,iters=10,ucb_c=2.0,seed=0",9.1,1.0,137.0,2,9,8.0,1,10,0.505,1,10,15280.0,5,6
tc_public_1/input.blif,2,MCTSyn,"seq=10,iters=10,cpuct=1.0,mu=0.9,",9.0,1.0,130.0,1,10,8.0,1,10,14.03928494,5,6,15180.0,3,8
tc_public_1/input.blif,3,MABSyn-UCB1Prefix,"steps=10,iters=10,ucb_c=0.4,seed=0",8.6,1.0,138.0,3,8,8.0,1,10,2.616,3,8,14140.0,1,10
tc_public_1/input.blif,4,HybridSyn,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",8.2,1.0,138.0,3,8,8.0,1,10,10.72076388,4,7,15180.0,3,8
tc_public_1/input.blif,5,SASyn,"seq=10,iters=100,min_temp=0.001,seed=0",7.7,1.0,139.0,5,6,8.0,1,10,1.861821547,2,9,14868.0,2,9
tc_public_2/input.blif,1,MABSyn-UCB1,"steps=10,iters=10,ucb_c=2.0,seed=0",9.9,1.0,18.0,1,10,4.0,1,10,0.435,1,10,14968.0,2,9
tc_public_2/input.blif,2,MABSyn-UCB1Prefix,"steps=10,iters=10,ucb_c=0.4,seed=0",9.6,1.0,18.0,1,10,4.0,1,10,2.451,3,8,13872.0,1,10
tc_public_2/input.blif,3,HybridSyn,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",9.1,1.0,18.0,1,10,4.0,1,10,10.60880206,4,7,18776.0,4,7
tc_public_2/input.blif,4,SASyn,"seq=10,iters=100,min_temp=0.001,seed=0",8.1,1.0,19.0,4,7,4.0,1,10,1.692864726,2,9,18648.0,3,8
tc_public_2/input.blif,5,MCTSyn,"seq=10,iters=10,cpuct=1.0,mu=0.9,",7.4,1.0,19.0,4,7,4.0,1,10,15.21261383,5,6,18776.0,4,7
tc_public_3/input.blif,1,MABSyn-UCB1,"steps=10,iters=10,ucb_c=2.0,seed=0",9.2,1.0,127.0,2,9,11.0,2,9,0.481,1,10,15292.0,2,9
tc_public_3/input.blif,2,HybridSyn,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",8.9,1.0,119.0,1,10,11.0,2,9,9.404874598,4,7,22916.0,4,7
tc_public_3/input.blif,2,SASyn,"seq=10,iters=100,min_temp=0.001,seed=0",8.9,1.0,127.0,2,9,11.0,2,9,1.832424345,2,9,22360.0,3,8
tc_public_3/input.blif,4,MCTSyn,"seq=10,iters=10,cpuct=1.0,mu=0.9,",8.3,1.0,127.0,2,9,10.0,1,10,14.1699095,5,6,23072.0,5,6
tc_public_3/input.blif,5,MABSyn-UCB1Prefix,"steps=10,iters=10,ucb_c=0.4,seed=0",7.4,1.0,128.0,5,6,11.0,2,9,2.516,3,8,14148.0,1,10
tc_public_4/input.blif,1,MABSyn-UCB1,"steps=10,iters=10,ucb_c=2.0,seed=0",9.9,1.0,103.0,1,10,9.0,1,10,0.46,1,10,15052.0,2,9
tc_public_4/input.blif,2,MABSyn-UCB1Prefix,"steps=10,iters=10,ucb_c=0.4,seed=0",9.6,1.0,103.0,1,10,9.0,1,10,2.462,3,8,14012.0,1,10
tc_public_4/input.blif,3,HybridSyn,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",8.2,1.0,104.0,3,8,9.0,1,10,10.86122006,4,7,23736.0,3,8
tc_public_4/input.blif,4,MCTSyn,"seq=10,iters=10,cpuct=1.0,mu=0.9,",8.0,1.0,104.0,3,8,9.0,1,10,14.96784657,5,6,23736.0,3,8
tc_public_4/input.blif,5,SASyn,"seq=10,iters=100,min_temp=0.001,seed=0",7.4,1.0,106.0,5,6,9.0,1,10,1.791446546,2,9,25220.0,5,6
tc_public_5/input.blif,1,MABSyn-UCB1,"steps=10,iters=10,ucb_c=2.0,seed=0",9.9,1.0,65.0,1,10,2.0,1,10,0.418,1,10,15180.0,2,9
tc_public_5/input.blif,2,MABSyn-UCB1Prefix,"steps=10,iters=10,ucb_c=0.4,seed=0",9.6,1.0,65.0,1,10,2.0,1,10,2.354,3,8,14276.0,1,10
tc_public_5/input.blif,3,SASyn,"seq=10,iters=100,min_temp=0.001,seed=0",9.4,1.0,65.0,1,10,2.0,1,10,1.835868547,2,9,25220.0,5,6
tc_public_5/input.blif,4,HybridSyn,"seq=10,warmup=3,warmup_episodes=10,topk=1,iters=10,ucb_c=0.4,cpuct=1.0,mu=0.9",9.2,1.0,65.0,1,10,2.0,1,10,10.626892,4,7,23736.0,3,8
tc_public_5/input.blif,5,MCTSyn,"seq=10,iters=10,cpuct=1.0,mu=0.9,",9.0,1.0,65.0,1,10,2.0,1,10,14.91455868,5,6,23736.0,3,8
tc_public_6/input.blif,1,MABSyn-UCB1,"steps=10,iters=10,ucb_c=2.0,seed=0",9.9,1.0,162.0,1,10,4.0,1,10,0.449,1,10,15388.0,2,9
tc_public_6/input.blif,2,MABSyn-UCB1Prefix,"steps=10,iters=10,ucb_c=0.4,seed=0",9.6,1.0,162.0,1,10,4.0,1,10,2.553,3,8,14348.0,1,10
tc_public_6/input.blif,3,SASyn,"seq=10,iters=100,min_temp=0.001,seed=0",9.4,1.0,162.0,1,10,4.0,1,10,1.796001409,2,9,25220.0,5,6
